brand,conversation_count,resolved_conversations,mixed_brand_conversations,avg_conversation_length,median_conversation_length,max_conversation_length,resolved_conversation_rate,multi_turn_resolved_rate,total_tweets,company_responses,customer_messages,response_rate
NortonSupport,899,899,6,4.71301446051168,3.0,52,1.0,0.5339265850945495,4237,2011,2216,0.7811371841155235
AskRBC,839,839,2,2.899880810488677,2.0,25,1.0,0.42789034564958284,2433,1011,1415,0.7067137809187279
NeweggService,796,796,1,3.1168341708542715,3.0,15,1.0,0.5100502512562815,2481,1079,1402,0.6611982881597718
VMUcare,727,727,15,4.50343878954608,3.0,245,1.0,0.5281980742778541,3274,1381,1868,0.6836188436830836
PandoraSupport,724,724,0,3.1726519337016574,2.0,229,1.0,0.3632596685082873,2297,1043,1254,0.8110047846889952
HiltonHelp,716,716,2,2.833798882681564,2.0,24,1.0,0.329608938547486,2029,833,1194,0.6817420435510888
BoostCare,673,673,15,3.325408618127786,2.0,74,1.0,0.36701337295690933,2238,907,1278,0.6815336463223787
PearsonSupport,604,603,0,3.056291390728477,2.0,25,0.9983443708609272,0.3791390728476821,1846,841,1005,0.7800995024875622
GooglePlayMusic,545,545,3,3.546788990825688,3.0,23,1.0,0.5559633027522936,1933,804,1128,0.7109929078014184
ask_progressive,543,543,0,2.596685082872928,2.0,22,1.0,0.27808471454880296,1410,612,798,0.7355889724310777
USCellularCares,541,541,13,5.1090573012939,4.0,55,1.0,0.589648798521257,2764,1177,1544,0.7493523316062176
YahooCare,538,538,2,4.048327137546468,3.0,34,1.0,0.6301115241635687,2178,906,1271,0.6199842643587726
MTNC_Care,529,527,0,3.739130434782609,3.0,25,0.996219281663516,0.5330812854442344,1978,784,1194,0.6113902847571189
asksalesforce,486,486,1,3.3930041152263373,2.0,30,1.0,0.49794238683127573,1649,710,936,0.7200854700854701
MOO,478,478,1,2.98326359832636,2.0,17,1.0,0.38284518828451886,1426,630,795,0.740880503144654
askvisa,473,473,2,2.9767441860465116,2.0,22,1.0,0.47568710359408034,1408,709,697,0.8048780487804879
OPPOCareIN,451,450,0,4.492239467849224,3.0,52,0.9977827050997783,0.647450110864745,2026,879,1147,0.6826503923278117
AskVirginMoney,396,396,0,4.8686868686868685,4.0,35,1.0,0.6540404040404041,1928,914,1014,0.8865877712031558
KeyBank_Help,374,374,2,3.307486631016043,2.5,15,1.0,0.5,1237,555,680,0.7573529411764706
AskRobinhood,353,353,0,2.909348441926346,2.0,67,1.0,0.35694050991501414,1027,432,595,0.719327731092437
AskSeagate,346,346,5,3.9508670520231215,3.0,42,1.0,0.5404624277456648,1367,639,716,0.7332402234636871
AskTigogh,322,322,0,5.083850931677019,3.0,40,1.0,0.6242236024844721,1637,715,922,0.7049891540130152
JackBox,233,233,0,2.5450643776824036,2.0,14,1.0,0.2832618025751073,593,266,327,0.7706422018348624
AskDSC,198,198,0,2.2676767676767677,2.0,6,1.0,0.1717171717171717,449,210,239,0.8786610878661087
mediatemplehelp,174,174,0,3.5057471264367814,3.0,11,1.0,0.5689655172413793,610,305,305,0.8327868852459016
CarlsJr,166,165,0,2.7289156626506026,2.0,18,0.9939759036144579,0.3433734939759036,453,196,257,0.7003891050583657
HotelTonightCX,123,123,0,2.747967479674797,2.0,10,1.0,0.3170731707317073,338,152,186,0.7150537634408602
OfficeSupport,113,113,16,4.964601769911504,4.0,21,1.0,0.8141592920353983,561,218,318,0.5911949685534591
